station_id,station_name,lat,lon,capacity,capacity_class,is_charging_station,is_superstation,valet_hours,primary_area_type,context_tags,context_summary,nearest_subway_station,distance_to_subway_m,near_subway,nearest_park_or_recreation,distance_to_park_m,near_park_or_recreation,nearest_tourist_or_event_place,distance_to_tourist_or_event_m,near_tourist_or_event,nearest_major_road,distance_to_major_road_m,near_major_road,is_waterfront,is_downtown_core,is_residential_context,historical_arrivals_per_day,historical_departures_per_day,historical_net_flow_per_day,historical_usage_class,historical_return_risk_class,agent_hint,source,source_notes
7000,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,47,very_large,False,False,,tourist_event,very_large|tourist_event|downtown_core|near_park|near_tourist,"Very large tourist event station in the downtown core, near tourist or event venues and near a park or trail.",University / King Southwest corner (on King),1224,False,Canoe Landing Park,107,True,The Ground Floor: Jumblies Theatre,229,True,Lake Shore Boulevard West,159,False,False,True,False,65.59,71.75,-6.16,very_high,low,Tourist or event-area station; demand may spike around weekends and events.,gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7001,Wellesley Station Green P,43.66496415990742,-79.38355031526893,23,medium,True,False,,transit_hub,medium|transit_hub|downtown_core|near_subway|near_park|charging_station,"Medium transit hub station near subway, in the downtown core and near a park or trail.",Wellesley Street East,28,True,Paul Kane House Parkette,143,True,Police Museum & Discovery Centre,445,False,Yonge Street,82,False,False,True,False,46.85,64.41,-17.56,very_high,medium,"Large capacity helps, but downtown commuter demand can change quickly; check alternatives early.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7002,St. George St / Bloor St W,43.66713121831853,-79.3995550638237,19,medium,False,False,,transit_hub,medium|transit_hub|downtown_core|near_subway|near_park|near_tourist|near_major_road,"Medium transit hub station near subway, in the downtown core, near tourist or event venues, near a park or trail and on a major road.",St George Street,126,True,Bloor-Bedford Parkette,167,True,Michael Lee-Chin Crystal,381,True,Bloor Street West,49,True,False,True,False,59.75,64.83,-5.07,very_high,medium,"Large capacity helps, but downtown commuter demand can change quickly; check alternatives early.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7003,Madison Ave / Bloor St W,43.66701830465472,-79.4027958687172,15,small,False,False,,transit_hub,small|transit_hub|downtown_core|near_subway|near_park|near_major_road,"Small transit hub station near subway, in the downtown core, near a park or trail and on a major road.",Spadina Road East Entrance,100,True,Paul Martel Park,68,True,"Ukrainian Museum of Canada, Ontario Branch",576,False,Bloor Street West,32,True,False,True,False,13.19,16.41,-3.22,high,low,"Large capacity helps, but downtown commuter demand can change quickly; check alternatives early.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7005,King St W / York St,43.6480008,-79.383177,23,medium,False,False,,transit_hub,medium|transit_hub|downtown_core|near_subway|near_park|near_tourist|near_major_road,"Medium transit hub station near subway, in the downtown core, near tourist or event venues, near a park or trail and on a major road.",Entrance from 145 King West (via PATH),110,True,The Pasture,101,True,TD Gallery of Indigenous Art,226,True,King Street West,31,True,False,True,False,11.03,11.2,-0.18,medium,low,"Large capacity helps, but downtown commuter demand can change quickly; check alternatives early.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7006,Bay St / College St (East Side),43.660439,-79.385525,31,large,False,False,,transit_hub,large|transit_hub|downtown_core|near_subway|near_park|near_tourist|near_major_road,"Large transit hub station near subway, in the downtown core, near tourist or event venues, near a park or trail and on a major road.",College Park Shops Entrance,202,True,College Park,167,True,Police Museum & Discovery Centre,82,True,Bay Street,13,True,False,True,False,78.39,86.58,-8.19,very_high,medium,"Large capacity helps, but downtown commuter demand can change quickly; check alternatives early.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7007,College St / Huron St,43.658148,-79.398167,18,medium,False,False,,tourist_event,medium|tourist_event|downtown_core|near_park|near_tourist|near_major_road,"Medium tourist event station in the downtown core, near tourist or event venues, near a park or trail and on a major road.",University / College Southwest Entrance,614,False,Lillian H. Smith Park,50,True,Wildseed Centre for Art & Activism,206,True,College Street,13,True,False,True,False,61.66,66.12,-4.46,very_high,medium,Tourist or event-area station; demand may spike around weekends and events.,gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7008,Wellesley St W / Queen's Park Cres,43.663376,-79.392125,19,medium,False,False,,transit_hub,medium|transit_hub|downtown_core|near_subway|near_park|near_tourist,"Medium transit hub station near subway, in the downtown core, near tourist or event venues and near a park or trail.",,238,True,Queen's Park,19,True,University of Toronto Art Centre,282,True,Queen's Park Crescent West,90,False,False,True,False,24.25,26.44,-2.19,high,low,"Large capacity helps, but downtown commuter demand can change quickly; check alternatives early.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7010,King St W / Spadina Ave,43.64514249449372,-79.39510358283808,19,medium,False,False,,park_trail,medium|park_trail|downtown_core|near_park|near_major_road,"Medium park trail station in the downtown core, near a park or trail and on a major road.",University / King Southwest corner (on King),849,False,Clarence Square,161,True,CBC Museum,610,False,Spadina Avenue,24,True,False,True,False,25.18,25.69,-0.51,high,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7013,Scott St / The Esplanade,43.64659663170443,-79.37530913867988,19,medium,False,False,,transit_hub,medium|transit_hub|downtown_core|near_subway|near_park|near_tourist,"Medium transit hub station near subway, in the downtown core, near tourist or event venues and near a park or trail.",Yonge / Melinda,280,True,Berczy Park,154,True,The Market Gallery,398,True,Front Street East,102,False,False,True,False,34.77,36.03,-1.25,very_high,low,"Large capacity helps, but downtown commuter demand can change quickly; check alternatives early.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
